id,unempJan,unempMay
35001,5.9,5.4
35003,8.9,5.4
35005,7.4,6.3
35006,8.8,7.3
35007,6.6,6.5
35009,5.1,4.9
35011,4.7,4.8
35013,7.6,6.8
35015,6.8,5.9
35017,7,6
35019,7.8,5.7
35021,5.8,6.8
35023,6,4.7
35025,8.7,7.3
35027,6.6,5.1
35028,4.2,3.7
35029,20.5,13.7
35031,9.7,8.3
35033,10.3,7.3
35035,6.2,5.9
35037,7,6
35039,7.6,6.2
35041,5.5,5.1
35043,6.8,6.2
35045,9.5,7.2
35047,8,7.2
35049,5.5,5
35051,9.5,8.2
35053,7.2,6.3
35055,8.5,8.9
35057,9.5,8
35059,4.6,3.8
35061,7.2,6.5
